Date,USD,EUR,RUR
2015-03-20,23.190613,24.760618,0.38760
2015-03-23,23.149873,24.946303,0.38561
2015-03-24,23.287844,25.411695,0.39175
2015-03-25,23.557021,25.794938,0.40083
2015-03-26,23.500799,25.815628,0.40951
2015-03-27,23.513024,25.800841,0.41670
2015-03-30,23.442625,25.449314,0.40609
2015-04-01,23.451383,25.231343,0.40679
2015-04-02,23.481944,25.254831,0.40241
2015-04-03,23.509492,25.460780,0.41252
2015-04-06,23.304799,25.239097,0.41063
2015-04-07,23.447515,25.393659,0.41488
2015-04-08,23.506033,25.496994,0.42481
2015-04-09,23.510335,25.536926,0.43516
2015-04-10,23.435369,25.249267,0.44603
2015-04-14,22.882033,24.186309,0.44807
2015-04-15,22.926551,24.219608,0.44111
2015-04-16,21.783027,23.044264,0.43132
2015-04-17,21.445856,22.970656,0.43172
2015-04-20,21.057654,22.771747,0.41674
2015-04-21,22.254387,23.863379,0.43195
2015-04-22,22.276179,23.835512,0.41273
2015-04-23,22.542193,24.217078,0.42013
2015-04-24,22.531063,24.270461,0.43664
2015-04-27,22.451630,24.301644,0.44682
2015-04-28,22.898565,24.780827,0.44490
2015-04-29,22.262406,24.326131,0.42563
2015-04-30,21.046832,23.155725,0.40707
2015-05-05,21.132395,23.699981,0.41324
2015-05-06,21.133059,23.493622,0.40831
2015-05-07,21.025503,23.611640,0.42066
2015-05-08,20.722460,23.426741,0.41147
2015-05-12,20.589862,23.103884,0.40570
2015-05-13,20.637560,23.194554,0.40534
2015-05-14,20.570787,23.082480,0.41526
2015-05-15,20.569333,23.488121,0.41075
2015-05-18,20.698242,23.446969,0.41387
2015-05-19,22.118662,25.190944,0.44941
2015-05-20,21.252580,23.760384,0.43216
2015-05-21,20.812662,23.139518,0.41799
2015-05-22,20.678827,23.021738,0.41424
2015-05-25,20.836853,23.262263,0.41849
2015-05-26,21.133675,23.200548,0.42385
2015-05-27,21.423472,23.407268,0.42573
2015-05-28,21.041285,22.857148,0.41243
2015-05-29,21.048227,22.934148,0.40252
2015-06-02,21.084888,23.130122,0.39804
2015-06-03,21.070818,23.239005,0.39428
2015-06-04,21.005961,23.388037,0.39590
2015-06-05,21.013713,23.781219,0.38213
2015-06-08,21.025806,23.586749,0.37382
2015-06-09,21.102444,23.554548,0.37654
2015-06-10,21.169299,23.813344,0.37863
2015-06-11,21.153330,23.858841,0.38586
2015-06-12,21.027495,23.618082,0.38562
2015-06-15,21.058829,23.628006,0.38620
2015-06-16,21.448810,24.061275,0.38809
2015-06-17,22.147739,24.838689,0.40983
2015-06-18,21.650235,24.419300,0.40167
2015-06-19,21.329154,24.323767,0.39995
2015-06-22,21.635428,24.445870,0.40214
2015-06-23,21.768700,24.696590,0.40646
2015-06-24,21.525720,24.117417,0.39709
2015-06-25,21.178020,23.746914,0.39164
2015-06-26,21.196069,23.752315,0.38819
2015-06-30,21.015358,23.541404,0.38340
2015-07-01,21.005219,23.502740,0.37616
2015-07-02,21.006373,23.317074,0.37866
2015-07-03,21.011609,23.251447,0.37753
2015-07-06,21.018248,23.321848,0.37799
2015-07-07,21.265897,23.409499,0.37698
2015-07-08,21.700382,23.720688,0.37925
2015-07-09,21.971761,24.221669,0.38400
2015-07-10,21.848173,24.150970,0.38343
2015-07-13,21.916483,24.513586,0.38675
2015-07-14,21.963753,24.267751,0.38800
2015-07-15,21.995345,24.263065,0.38604
2015-07-16,22.107282,24.337907,0.39015
2015-07-17,21.986687,23.892933,0.38607
2015-07-20,22.014924,23.972051,0.38730
2015-07-21,22.032134,23.909272,0.38766
2015-07-22,22.021461,23.930722,0.38632
2015-07-23,22.012094,23.997585,0.38602
2015-07-24,22.015695,24.215063,0.38383
2015-07-27,22.073520,24.146224,0.38033
2015-07-28,22.062278,24.396467,0.37533
